Travessa Horizontal,Carga,Tempo,Tensao,Deformação,Derivada
4.25759050995111,54814.98828125,127.745002746582,812.0739004629629,0.09195659848706503,-4751.73068600893
4.25819866359234,54810.63671875,127.764999389648,812.0094328703703,0.09196973355491016,-4916.399514380842
4.25888784229755,54805.6875,127.785003662109,811.9361111111111,0.09198461862413715,-3584.259772542864
4.25957748666406,54803.43359375,127.805000305176,811.9027199074075,0.09199951375084364,-987.1633683219552
4.26034769043326,54803.8984375,127.824996948242,811.9096064814814,0.0920161488214527,1862.9066302739084
4.26111789420247,54807.6171875,127.845001220703,811.964699074074,0.09203278389206199,2321.904548600316
4.26184805110097,54809.08984375,127.86499786377,811.9865162037037,0.09204855401945941,518.8654286563396
4.26257774233818,54808.72265625,127.88500213623,811.9810763888889,0.09206431408937754,-1544.4445486478508
4.2632264085114,54806.25390625,127.904998779297,811.9445023148148,0.09207832415791362,-3804.3076644465327
4.26387507468462,54801.52734375,127.925003051758,811.8744791666667,0.09209233422644968,-4815.170426636934
4.26448322832584,54797.41015625,127.944999694824,811.8134837962963,0.09210546929429461,-5446.171956826001
4.26517287269235,54791.01953125,127.964996337891,811.7188078703704,0.09212036442100109,-3351.610660184175
4.26590256392956,54790.8359375,127.985000610352,811.716087962963,0.09213612449091922,9.17990380898118
4.26663225516677,54791.0390625,128.005004882813,811.7190972222222,0.09215188456083737,-886.7787082865834
4.26736194640398,54788.94921875,128.024993896484,811.6881365740741,0.09216764463075552,-1588.9224120415747
4.26801107823849,54787.76171875,128.044998168945,811.6705439814815,0.09218166475677085,-4478.485096823424
4.26861923187971,54781.11328125,128.065002441406,811.5720486111111,0.09219479982461577,-6778.310235273093
4.26922738552094,54775.7421875,128.085006713867,811.4924768518518,0.09220793489246092,-6484.501470349729
4.26987605169415,54769.1796875,128.104995727539,811.3952546296297,0.09222194496099677,-5004.254870288074
4.27052471786737,54766.27734375,128.125,811.3522569444444,0.09223595502953283,-4347.4851431287825
4.27117338404059,54760.95703125,128.145004272461,811.2734375,0.0922499650980689,-3461.465605646372
4.27182205021381,54759.73046875,128.164993286133,811.2552662037037,0.09226397516660498,-3769.091873254627
4.27243066951633,54754.328125,128.184997558594,811.1752314814814,0.09227712029192939,-5755.911258544773
4.27303882315755,54749.51953125,128.205001831055,811.1039930555555,0.0922902553597743,-7833.308235742152
